,episode,channel,duration,doc_year,polarity,n_clusters
0,07ccd0c9-c020-446c-95ff-766a07bfe262,the michael moore podcast,3982,2024,left,40
1,0ba7df2a-7b29-11ed-8350-6f9d2dcb081f,mark levin podcast,6835,2023,right,46
2,0bbc13d2-7b29-11ed-8350-bf224b5f8c09,mark levin podcast,6738,2023,right,42
3,0e5efcaa-8b85-11ed-95fd-3fc9ab0ea880,the dan bongino show,2154,2023,right,43
4,10672768-1932-4440-9494-b3cd0026c419,the sean hannity show,1725,2026,right,40
5,10adbbf8-69a9-11ec-be73-ab9f0353f13e,the dan bongino show,2946,2022,right,43
6,11e171cb-1dd7-4c07-903c-3294e1bb90db,why is this happening the chris hayes podcast,3457,2024,left,38
7,13b33b9c-d276-11ee-9b50-07cb70f0898b,the meidastouch podcast,1023,2024,left,40
8,140125ae-2ad7-11f0-85db-c7acda577efa,the young turks,6248,2025,left,45
9,1bbec72c-9e99-11ee-aa0e-4b200e14342a,mark levin podcast,7004,2024,right,40
10,205cf4e6-f82d-11ee-9742-8fe73dcf2196,the dan bongino show,1214,2024,right,39
11,287822c0-4282-11ed-8363-cb83fa110de1,the meidastouch podcast,2460,2022,left,35
12,2925c4d2-1633-46b9-ad55-c768adf106ae,pod save america,6569,2026,left,40
13,2adbf0e2-f1d8-11f0-b2d6-e3a0b13b9b1b,the meidastouch podcast,1407,2026,left,37
14,2b0054b4-ecea-44a4-855f-b3b6000e929c,the sean hannity show,1695,2025,right,37
15,2d5f4c7d-14ac-41c6-8bc1-e36674894e10,the megyn kelly show,5825,2024,right,37
16,2d6489c6-fddf-11ee-bba3-cf3167aaaea6,the young turks,3812,2024,left,40
17,2e3d5f60-dad7-4797-be63-92a363e491f2,why is this happening the chris hayes podcast,2632,2026,left,35
18,31048a7d-b9b4-41bb-b741-078debfd7ce5,pod save america,4059,2024,left,37
19,35510498-9e99-11ee-aa0e-2b26fa57f531,mark levin podcast,3980,2024,right,35
20,369f59fd-b025-48cf-b9a7-0047ef6ee3e5,pod save america,7577,2025,left,37
21,3bdc5bfd-9705-46fd-99d7-b2360117c606,the sean hannity show,1736,2024,right,32
22,3f6e5c56-b653-11ee-bfb2-b7ebb1ae6930,the dan bongino show,3428,2024,right,34
23,4153c3a0-1956-11f0-941d-bb9c3561b1e7,the tucker carlson show,5432,2025,right,37
24,41715ab4-50de-4e87-8aaa-f52cce2f7a41,the megyn kelly show,6137,2024,right,39
25,469d94c6-769a-4c8b-b37b-b2a6001b7d9b,the sean hannity show,1860,2025,right,43
26,4aaa6c08-82bf-42d1-ad82-98882b3ccc65,why is this happening the chris hayes podcast,3075,2024,left,27
27,553aff2e-8dfc-11ed-826a-131940f84f69,the dan bongino show,602,2023,right,28
28,57a85129-5c4f-48c7-9d35-0ef24621a1d5,the megyn kelly show,5720,2022,right,36
29,5e7718cd-4381-4870-8c67-edbdeb45ada3,pod save america,4484,2023,left,40
30,603ccf88-416f-4384-81e0-352fc17d8fb2,why is this happening the chris hayes podcast,3485,2023,left,30
31,61fc9bbdd60d7b001362ab6a,the young turks,3411,2022,left,32
32,6243b451d72c0f0014d32e32,the young turks,3569,2022,left,39
33,63e3cb5e2b0e2f0011270e5c,the young turks,2482,2023,left,31
34,64000f01b71a580011c97982,the young turks,3631,2023,left,36
35,64f45e18-5b2f-4574-b34c-84410e316110,the michael moore podcast,1937,2023,left,32
36,661d9866-4392-4ad4-9fbe-b06000015ba6,the sean hannity show,1813,2023,right,34
37,6719607c-9932-11ee-9017-eb3e8a6583cb,the tucker carlson show,546,2023,right,25
38,6cb6236c-4fea-4233-9d4e-f89b9066d0fe,pod save america,4039,2024,left,36
39,6d9433a8-2e9e-11ef-b0ac-33eb4b2db5cf,the tucker carlson show,8737,2024,right,34
40,6f297791-603f-4133-bed2-fbbc523a2f51,the megyn kelly show,5636,2022,right,33
41,7379ce06-deb4-11ef-bf38-3b41fadb62a7,mark levin podcast,6606,2025,right,37
42,7538be06-668a-11f0-9b04-bfadfe82c9a8,the young turks,3876,2025,left,33
43,7cae3987-848c-4508-a5ea-ad1e79fe02f1,the megyn kelly show,7175,2025,right,34
44,7eb26a30-cc5d-11ef-b706-07db3cf2ff41,the dan bongino show,3515,2025,right,34
45,81ee8643-555b-4b23-bcf9-af8d0019b379,the sean hannity show,1917,2023,right,33
46,8a378534-ea48-11f0-8513-5f53e0daca7d,the dan bongino show,3568,2026,right,31
47,8aab2add-24ea-4f99-b25d-70a01c02fda8,why is this happening the chris hayes podcast,2696,2023,left,31
48,8ab20af6-746b-42e5-b500-b22f002135ae,the sean hannity show,1832,2024,right,29
49,9327952a-4dc0-400e-8053-4b4e2b666bee,why is this happening the chris hayes podcast,3177,2025,left,30
50,95979075-4c7d-4001-8052-b3ca00215593,the sean hannity show,1626,2026,right,32
51,95b4c966-203b-4217-bc66-d83052b0cd99,the michael moore podcast,2809,2022,left,29
52,9654112c-66e7-409c-baab-152717ac8281,pod save america,4834,2025,left,34
53,97e645d8-eba8-11f0-a898-3b712b89e31f,the meidastouch podcast,1259,2026,left,29
54,9a612080-75f3-485d-b082-63da8a572adb,the michael moore podcast,1509,2023,left,36
55,9e6aaba3-8693-4bdd-a56b-4a780e9a6f89,why is this happening the chris hayes podcast,3101,2022,left,31
56,a72ab36e-bf5c-48fa-9c9b-af91a0ba2cf6,the michael moore podcast,1176,2022,left,27
57,ae6a5d76-0386-11f1-a7aa-93af98ba88de,the tucker carlson show,4607,2026,right,30
58,afbf6f8c-3d71-11ee-87c3-3750a44ce6cf,the meidastouch podcast,5963,2023,left,36
59,b1c9b328-b481-11ee-be0e-db459aa16660,the tucker carlson show,1044,2024,right,34
60,b2af3699-003d-4e37-9b4a-bb76770dbc33,the megyn kelly show,1163,2026,right,34
61,b56a76ae-2187-4a59-8879-e6ab79990d92,pod save america,4229,2022,left,32
62,b596eadb-5fb6-493c-bad0-aee500175236,the sean hannity show,1657,2022,right,36
63,b75ea1be-17e0-11ef-a17e-bb3416e4183b,the meidastouch podcast,1083,2024,left,28
64,b8c280a6-f575-11f0-b1e4-bb9dc8f85b5a,the tucker carlson show,4808,2026,right,38
65,be85a010-6112-11f0-b038-139dc223e04e,the meidastouch podcast,5163,2025,left,30
66,bf307e6a-fcc9-11f0-9b11-2370e1951ccf,the young turks,7939,2026,left,36
67,bfacd294-b4e1-11ee-9f29-2bf500f7e027,the young turks,3853,2024,left,32
68,c885af66-1399-11ed-85f0-ebb436b51717,the meidastouch podcast,4163,2022,left,38
69,ca879a00-afad-11f0-98a1-5b26a21a7ed4,the tucker carlson show,5754,2025,right,37
